review,rating,date
"akun terblokir harus ke cabang BNI . sedangkan dari lokasi kerumah sangat jauh , sangat di sayangkan",1,2026-05-20 18:48:21
transaksi berhasil tapi cek saldo tidak nambah,1,2026-05-20 18:19:33
sangat membantu banget.,5,2026-05-20 18:09:08
aplikasi sering bermasalah pada saat darurat butuh transaksi online,1,2026-05-20 18:03:17
"tidak worth it untuk bertransaksi, saya melakukan transaksi pembayaran internet melalui virtual account, saldo terpotong, dan bukti TF berhasil, tp ternyata tidak masuk di jaringan internet saya (saya pakai iconet) berulang kali konfirmasi ke call center iconet, katanya dana tidak masuk, kemungkinan proses clearing, dan harus menunggu 1x24 jam. dan yap, jaringan tetap off yg artinya dana tidak masuk ke account iconet saya. akhirnya coba bayar lagi, pakai rekening berbeda, dan ternyata bisa",1,2026-05-20 17:52:16
"gimana Setiap mau login harus aktivasi Mulu kesal gua mah tolong perbaiki dan sering muncul ""MAAF ADA KENDALA"" kendala tolong terapkan",2,2026-05-20 17:40:13
"Sering error, sistem kacau, banyak kendala saat proses transaksi., PERBAIKI DONG!!!! balasan CS katanya sudah normal, normal apaan cok !!!",1,2026-05-20 17:13:22
kendala lagi,5,2026-05-20 17:07:41
apa²an dah sudah upload ktp yg bner msih aj gk bs login,3,2026-05-20 17:01:23
sering gangguan di jam 00.00,1,2026-05-20 16:57:50
butuk aplikasi setiap jam 11 ke atas pasti trobel.apa mungkin mau bangkrut.,1,2026-05-20 16:46:38
ok lah,3,2026-05-20 16:29:54
sangat membantu,5,2026-05-20 16:28:31
Oke,5,2026-05-20 16:28:16
"aplikasi wondr cepat dan mudah, sangat membantu utk segala macam transaksi.",5,2026-05-20 16:20:45
Mohon di tingkatkan transaksi suka gagal banyak gangguan,4,2026-05-20 16:18:14
oke bagus,5,2026-05-20 16:11:19
ribet,1,2026-05-20 15:56:13
satset dan praktis,5,2026-05-20 15:06:27
BNI good 👍,5,2026-05-20 14:58:01
cocok,5,2026-05-20 14:43:19
m banking saya kok belum bisa buat setor tunai ya .. apakah memang begitu?? atau hanya punya saya??,4,2026-05-20 14:36:40
suka bngt lengkap semua bisa,5,2026-05-20 14:02:36
mantap wondr by BNI,5,2026-05-20 14:02:15
ok banget,4,2026-05-20 13:59:05
"senang dengan mobile banking, apalagi sudah trend bayar pake qris",5,2026-05-20 13:41:15
hari2 ini kok lagi sering eror ya,1,2026-05-20 13:10:02
senang,5,2026-05-20 13:01:46
"tolong dong . skrng download wonder sudah 1 GB . untuk install,,tidak bisa lagi di pakai pengguna di ram 4",1,2026-05-20 12:30:04
puas,5,2026-05-20 12:23:38
transfer pdhl berhasil dari seabank ke wondr bni saldo tidak masuk,1,2026-05-20 12:18:35
siip terimakasih,5,2026-05-20 11:58:41
"ada kurangnya,laporan mutasi rekening tidak realtime seperti aplikasi BNI M-Banking hanya tersedia 1 bulan kebelakang per tgl 10 mohon untuk di aktifkan kembali",4,2026-05-20 11:56:46
kenapa susah masuk sih stuck d tampilan awal. toltong perbaiki nanti aku kasih bintang 5 klo udh d perbaiki,1,2026-05-20 11:46:34
Rasanya Semakin Gampang Sangat Menyenangkan,5,2026-05-20 11:38:20
baik dan gampang di pelajari,5,2026-05-20 11:37:31
bagus banget,5,2026-05-20 11:05:17
mudah... semoga tidak terkendala apapun,5,2026-05-20 10:53:35
ko saldonya ga bisa nambah sendiri ya?,3,2026-05-20 10:52:48
mantaaaap,5,2026-05-20 10:47:12
sngt bagus,5,2026-05-20 10:26:34
mantap lancar,5,2026-05-20 09:52:40
kenapa kalo qris gagal dana tidak di kembalikan dan mutasi tidak muncul,1,2026-05-20 09:52:39
sahabat sejati,5,2026-05-20 09:48:52
sangat puas,5,2026-05-20 09:47:43
"maaf bukan gimana², ini kenapa saya tf, e wallet ke dana/gopay gagal terusss si udah dari kapan lah berapa hari. kuota aman aja buat tiktokan lancar, bau apa aja lancar tpi ini transaksi gagal muluu gimananiihh",1,2026-05-20 09:19:49
Mohon di Segerakan pembaharuan setor tunai tanpa kartu ya. Di tunggu update terbaru nya 🦾,5,2026-05-20 09:16:07
Mantaap naikan lagi jangan over limit terus,5,2026-05-20 09:14:39
susah login masukan no otp ny,1,2026-05-20 09:13:13
sangat memuaskan,5,2026-05-20 09:01:29
lebih simple,5,2026-05-20 09:00:22
"biaya transaksi terlalu mahal, gitu tidak lengkap",1,2026-05-20 08:49:30
baik sekali,4,2026-05-20 08:41:40
Saya donlot kembali wondr tp entah knp tdk bisa dibuka,1,2026-05-20 08:34:06
"ini aplikasi apaan sih, masa seharian ga bisa masuk sama sekali ""ada sedikit kendala mohon coba lagi"" nanti dan itu seriiiiinngggg bgt amat sangat tidak membantu bagi yg bisnis tidak disarankan pakai wondr sangat2 merepotkan, tolong perbaiki/ inovasi lah kita nasabah butuh yg serba cepat tanpa ada gangguan !!!!!!",1,2026-05-20 08:09:26
"Baru daftar dan udah aktif, langsung saya deposit 200K dr bank lain transaksi tertulis berhasil tapi di rekening bank ini kok uangnya gak masuk? Kemana? gajelas, masa pending 1x24jam????",1,2026-05-20 08:00:44
kesel bgt ih ada aja erornya pas mau transaksi pas lagi urgent,3,2026-05-20 07:53:48
mbanking terlemott anjjg,1,2026-05-20 07:53:14
Mantap,5,2026-05-20 07:41:26
sangat2 jelek mau tf ja susah skali,1,2026-05-20 07:40:15
kita ulang penilaian nya ya 😁Alhamdulillah udh beberapa Thun ini dr hanya sekali bermasalah dan skrg udh lancar semoga kedepan nya makin lancar lagi aplikasinya,4,2026-05-20 07:19:51
bagus sangat membantu,5,2026-05-20 07:02:02
"saya berhasil ajak kawan dan saudara sampe orang tua buka rekening disini, total ada 40 orang . saya buka semua informasi terkait katanya dapet 25 ribu per orang tiap tanggal 20 bulan selanjutnya , tapi sekarang tanggal 20 mei 2026 tidak ada bonus atau hal lainya yg dijanjikan sebagai reward. saya berhasil ajak mereka pada tanggal 25 april 2026. kalo sampe bener ga ada respon apalagi hadiah yg di janjikan , saya akan uninstals dan bikin viral di semua sosial media saya.",1,2026-05-20 06:36:08
Nice aplikasi 🤔,5,2026-05-20 06:29:39
luar biasa pelayanan ya,5,2026-05-20 06:28:14
lu Mayan mantap,3,2026-05-20 06:13:04
di buka susah,5,2026-05-20 05:22:50
cpt progresnya,5,2026-05-20 05:18:47
sangat bagus dan baik,5,2026-05-20 05:08:23
saya melakukan transaksi top-up e-Wallet gagal namun saldo telah terpotong dari bulan kemarin dan sampai sekarang saldo saya belum di kembalikan bagaimana ya?,3,2026-05-20 04:36:40
mengapa verifikasi wajah selalu gagal,1,2026-05-20 04:34:07
jos,5,2026-05-20 04:32:24
"mn duet setor tunai blom msuk ne, biaso dak lamo, cuman 800 rbu blom msuk, tolong di bantu, Atas Nama BENNY ARIANSYAH",1,2026-05-20 04:25:37
okee,5,2026-05-20 03:52:31
terima kasih wonder membuat saya lebih mudah kirim uang ke Indonesia tanpa harus antri Lgi ke bank....sangat bermanfaat..sukses selalu buat wonder BNI🎉🎉🎉😍😍,5,2026-05-20 03:10:55
mudah akses,5,2026-05-20 02:53:24
siip bisa transfer ke LN juga,5,2026-05-20 02:18:38
"Lamban sekali terbuka, tolong diperbaiki",3,2026-05-20 02:03:44
Mantaaaaaaaap,5,2026-05-20 01:59:34
"Gagal verifikasi wajah 3 hari (3x24jam) yg lalu tapi sampai sekarang masih tidak bisa aktivasi akun dengan notice ""terlalu banyak percobaan""",2,2026-05-20 01:57:19
sangat bagus dan aman,5,2026-05-20 01:22:33
cepat akurat dan efesien,5,2026-05-20 01:17:05
cepat dan mudah di aksesnya,5,2026-05-20 00:54:48
mudah transaksi,5,2026-05-20 00:35:37
membantu,5,2026-05-20 00:11:11
aplikasi nya bagus dan mudah digunakan aman dan mudah digunakan,5,2026-05-19 23:49:43
"Aplikasinya bagus, tidak ada bug, proses transaksinya cepat, tidak ada kendala, pelayanannya cepat dan aman, keren, terimakasih wondr by bni.",5,2026-05-19 22:20:56
bisa offline,5,2026-05-19 22:06:29
krennn,5,2026-05-19 21:49:26
nice,5,2026-05-19 18:35:56
aplikasi ini bagus mudah untuk transaksi,5,2026-05-19 18:32:44
baik dan lancar,5,2026-05-19 18:11:25
Ok... Mantul,5,2026-05-19 17:41:03
"tiap tengah malam,wonder selalu kendala.Mohon untuk di perbaiki sistemnya",3,2026-05-19 17:23:43
"saldo ada tapi ga bisa buat transfer gimana sih, ga jelas.",1,2026-05-19 17:20:55
"BANK TER BOBROK , ATM TIDAK BISA DI GUNAKAN DI JAM MALAM SEKITAR JAM 23:00 - 01:30 SAAT CUT OFF HARIAN BERLANGSUNG , UNTUK PEKERJA SIFT MALAM SANGAT MENGGANGU SEKALI , BEDA JADWAL CUTOFF SEPERTI BANK BIRU SEBELAH , GANTI BANK SEBELAH AJA DEH",1,2026-05-19 17:15:27
sering ga bisa di buka,1,2026-05-19 17:11:53
apk anying limit saldo harus 50rb,1,2026-05-19 17:07:09
"eh CS BNI gw telpon baik baik ya barusan di tanggal 19 05 2026, gw nnya prihal knp gk bisa transaksi setiap jam 23:30 gw mau transaksi urgent malah di mati in sepihak gimana tolong dong layanan atau pelayanan kek gini di pecat kek gk guna pekerja gitu",1,2026-05-19 16:47:48
semoga bermanfaat,5,2026-05-19 16:35:19
saya sangat puas dengan aplikasi wondr by BNI👍,5,2026-05-19 16:15:21
Aplikasi bagus mudah dan cepat respons,5,2026-05-19 15:52:13
Bagus,5,2026-05-19 15:45:32
"Aku Udah Daftar Online, Dan Semoga Kartunya Cepat sampai ke rumah ✌️ Mantaplah 😂",5,2026-05-19 15:33:54
sy dft wondr untuk kemudahan cek bansos sy tp di bulan Maret tiba2 saldo di rekening Taplus sy hilang pada saat itu jg bantuan sy TDK cair apa ini ada hubungannya dgn saldo yg hilang td,5,2026-05-19 15:33:07
Wonder by BNI memang mantap,5,2026-05-19 15:29:43
the best,5,2026-05-19 15:22:07
wah lebih lancar paker wndr by BNI tolong dong kartu pisiknya dikirim ya,5,2026-05-19 14:49:18
sangat bagus/baik,5,2026-05-19 14:40:17
bintang yg bicara,5,2026-05-19 14:11:04
terbaik,5,2026-05-19 13:59:19
sangat membantu dan pelayanan baik,5,2026-05-19 13:55:44
good job,5,2026-05-19 13:26:03
saya sudah mendaftar capek2 padahal sudah jadi tetapi pada saat saya masuk lagi kenpa harus suruh daftar lagi,1,2026-05-19 13:23:59
"mantap, sangat mudah",5,2026-05-19 13:15:02
kadang Lama buka. mentok logo wondr doank,3,2026-05-19 13:14:41
"eh bank BNI..tolong donk....jng suka nyusahin nasabah .....🥵🥵🥵🥵ngambil duit suka ga keluar,,tp saldo kepotong...nlpon call center y susah bngt,,,,ngabisin pulsa...udh di tlpon....tinggal balikin uang nasabah jg susah,,,,ngurus dr Senin..ketemu Senin LG blm di balikin..apa susah y..kl ada uang nasabah..jng nunggu di minta..balikin donk....kl bisa ganti bank di perusahan pengen ganti aj..ga Mao pake BNI LG🫵🥵🥵🥵🥵🥵🥵🥵🥵🥵 siap2 aj kehilangan bnyk nasabah kl pelayanan y begini trs",1,2026-05-19 13:03:35
mantab,5,2026-05-19 12:28:27
saya suka aplikasi sangat membantu,5,2026-05-19 12:21:54
"Proses mudah, tp blm lht hsl akhirnya",5,2026-05-19 12:20:53
sangat cepat,5,2026-05-19 12:15:25
suka lelet..masuk login aja susah..tolong di perbaiki ya.. padahal jaringan ok.. percuma kalaw bank Negara Indonesia kayak gini😁,2,2026-05-19 11:35:21
aman dan terpercaya,5,2026-05-19 11:34:50
top,1,2026-05-19 11:27:52
"sering bgt maintenence, apalagi klo bni mobile sma wonder nya bareng. bkin bete",3,2026-05-19 11:16:00
"udah bagus pake mbanking BNI lama, sekarang diganti segala yg baru. Mana banyak kekurangan.",2,2026-05-19 10:20:19
sangat puas dengan pelayanannya,5,2026-05-19 10:18:00
cepat,5,2026-05-19 09:57:04
"Ganti handphone,gak bisa log in kembali,ribet Handphone lama rusak,dan log in dengan handphone yang lain,malah di minta nmor kartu debet,sedangkan ketika saya daftar dulu saya tidak memakai kartu debet,malah di minta ke kantor cabang terdekat.Di Aceh gak ada kantor cabang terdekat",1,2026-05-19 09:32:32
susah,1,2026-05-19 09:27:49
jaringan terputus padahal ada jaringan,1,2026-05-19 09:02:48
"mudah digunakan, sayangnya belum bisa setor tunai tanpa kartu",4,2026-05-19 08:58:20
wonder BNI memang mantao,5,2026-05-19 08:47:42
sangat membantu transaksi,5,2026-05-19 08:30:23
sangat membantu keperluan dan kebutuhan untuk transaksi,5,2026-05-19 08:17:09
"saya merasa lebih mudah bertransaksi, dengan wonder by bni",5,2026-05-19 08:05:02
cukup baik,4,2026-05-19 08:04:24
untuk pembayaran pangkalan gas 3 kg GK ada,1,2026-05-19 07:52:01
"belum apa apa udah ngecewain, baru aja mau daftar malah katanya data ga sesuai ektp, udah di cek bener semua nik, nama lengkp, tgl lahir, fotonya juga udah paling jelas kelihatan, masih sama aja muncul data ga sesuai ektp sampe disuruh coba lg besok",2,2026-05-19 07:08:48
"sering kalih majet , saya tidak tahu kenapa , baru kemarin dari bank bni pangandaran lagi , hari ini mau transaksi lagi , tapi mogok lagi . japeh dehhh ...",5,2026-05-19 06:54:23
baikk sekalii,5,2026-05-19 06:34:31
suka sekali,5,2026-05-19 06:24:43
registrasi ulang mudah nggak ribet suka banget wondr.,5,2026-05-19 06:20:16
BNI mantap...,5,2026-05-19 06:09:54
good ApK,5,2026-05-19 05:39:54
"mantap, cuma fitur kurang lengkap spti BNI mobile",5,2026-05-19 05:33:59
Ok,5,2026-05-19 05:07:26
coba kalau orng tua yg mau buat rekening lewat aplikasi ribet jadinya sekali salah minggu bsok baru bisa daftar..sudah administrasi berbayar malah di tolak no bintang,1,2026-05-19 04:57:20
"Tolong BNI, Biometrik nya ngga bisa dinyalakan setelah dimatikan.",1,2026-05-19 04:42:15
aplikasi mobile perbankan yg paling buruk loading terus susah masuk aplikasi,1,2026-05-19 04:24:41
Apik banget,5,2026-05-19 04:18:48
memudahkan dlm bertransaksi,5,2026-05-19 04:14:00
sedikit saran tolong history transaksi dii beri kan keterangan. terima kasih,3,2026-05-19 04:13:34
"parah team teknis bni bada bodo to gimana, jam gini aplikasi dibuat update mana bisa nasabah bisa proses online, mestinya malam bro, bodo amat , dr td lo ini gangguan terus",1,2026-05-19 04:05:27
Sangat membentu transaksi,5,2026-05-19 03:54:30
bagus ramah pelayanan nya di bni,5,2026-05-19 03:45:54
mantaps,5,2026-05-19 03:21:20
Sangat membantu.terbaik👍🏼👍🏼👍🏼,5,2026-05-19 02:47:24
sangat puas transaksi lebih cepat,5,2026-05-19 02:40:54
sangat bermanfaat,5,2026-05-19 02:39:37
sangat membantu utk pembayaran tagihan,5,2026-05-19 02:34:49
Memuaskan.. biaya admin murah bahkan ada yg gratis kl ke toko orens,5,2026-05-19 02:21:06
"Saya sudah daftar di beda hp. Install di hp lain, tapi ternyata tidak ada menu login, adanya daftar lagi. Padahal tadinya sudah terverifikasi. Kenapa sesulit ini, harusnya di menu awal itu ada pilihan daftar atau login. Masa sih sejadoel ini IT nya. Ulasan ini sudah dijawab, tapi jawabannya ga nyambung, seperti dijawab robot.",1,2026-05-19 02:08:07
masih bingung gimana cara nambahin penyimpanan soalnya beda sama aplikasi BNI mobile,5,2026-05-19 02:05:32
Sangat baik,5,2026-05-19 01:44:48
"sangat, mudah dipelajarinya dan sangat membantu, disaat membutuhkannya",5,2026-05-19 01:30:12
Potongan bunga perbulannya cukup besar,5,2026-05-19 01:05:49
"dasar emang buta apk ini, dari kemaren sampai sekarang belum bisa daftar saya kasihan sama orang tua saya suruh untuk mengikuti petunjuk dari apk ini al hasil tidak bisa dasar aplikasi buta soalnya saya sudah berkali kali lain hari laknat",1,2026-05-19 01:02:00
bagus dan proses nya gampang,5,2026-05-19 00:57:43
bagus bngt,5,2026-05-19 00:38:04
"m bangking gag jelas ,tfr dari jam 6 malam sampai pagi gag masuk,tapi d laporan pengirim sudah sukses.bank meresahkan.",1,2026-05-19 00:34:28
keren banget,5,2026-05-19 00:32:23
"mempermudah urusan, tinggal nunggu update utk pajak PBB daerah Klaten blm bisa",5,2026-05-19 00:23:19
"bagus bener""jadi mudah bertransaksi nya,tanpa ribet",5,2026-05-19 00:18:21
cukup bagus,5,2026-05-19 00:04:18
Sweet 🍭,5,2026-05-18 23:55:37
"proses cepat ,pada setiap transaksi.",5,2026-05-18 23:45:49
sangat baik dan bermanfaat,5,2026-05-18 23:09:20
Aplikasinya mohon diperbaiki..,2,2026-05-18 23:02:24
sangat baik.,5,2026-05-18 22:27:35
"Kadang bikin kesel ini Wondr BNI, mau log in error nya minta ampun sidik jari tidak diketahui, pas masuk BNI Mobile top markotop wlopun jadul langsung terdetek, aneh ini Wonder BNI. Kemudahan dan tampilan ok, tapi sering tidak UPDATE TRANSAKSI harus diperbaiki terus, SANGAT BAHAYA INI. Tolong perbaiki terus, untung ada pembanding BNI mobile jadul yang selalu update transaksi keren deh si Jadul.",2,2026-05-18 22:02:41
transaksi tang mudah dan handal,5,2026-05-18 21:59:48
kenapa bni fleksi tidak dapat di gunakan,5,2026-05-18 20:16:12
"gara gara BNI saya di waktu tengah malem mau ngirim duit ke orang tua ke hambat gak bisa,padahal sangat penting mendesak, setiap hari emang selalu begitu ini aplikasi, pikirannya gak ada.",1,2026-05-18 17:43:06
kenapa setiap transaksi tengah malam selalu error,1,2026-05-18 17:40:22
sumpah nyesel buka rekening di wondr dana nyangkut gak bisa di tarik uang endapannya terlalu gede bro sampah,1,2026-05-18 17:17:53
"Kebanyakan delay wkwk apalagi jam"" tinggi",1,2026-05-18 17:14:49
sangat menbantu,5,2026-05-18 16:46:19
Bagus Sekali,5,2026-05-18 16:28:07
"lebih suka BNI mobile banking, yang ini bikin sakit mata warna nya 😭😭",4,2026-05-18 16:25:47
"senang dengan layanan BNI, lopyupul deh, semoga semakin di depan, jaya BNI",5,2026-05-18 16:21:14
"bagus, mudah, membantu sekali apk ini",5,2026-05-18 16:03:56
"ini kenapa lebih bagus bni mobile yg dulu, bisa liat saldo awal dan minusnya di history transaksi tdk seperti ini aplikasi ini yg hanya bisa liat history transaksi tampa lau saldo awalnya berapa, kok fitur se basic itu mlaah ngak ada",1,2026-05-18 15:48:33
"baru coba hari ini, menurutku sangat membantu utk bertransaksi...",5,2026-05-18 14:47:23
"Buatkan fitur ganti kartu debit yang expired DAN PAKAI NAMA di aplikasi lalu dikirim ke rumah! Di aplikasi tanpa nama. Hari ini saya kecewa 2x datang ke Customer Service BNI Superindo Ciledug kartu debit dengan nama belum jadi-jadi hampir 2 bulan. Kalah dengan Mandiri, seminggu jadi kartu debit nama. Ada ATM ganti kartu debit pula. Begitu pula CIMB Niaga juga ada ATM ganti kartu. BNI ndeso, katrok, klemar-klemer, ngjengkeli tenan....",1,2026-05-18 14:41:56
terimakasih kepada wonder by BNI telah menyelamatkan kami,5,2026-05-18 14:40:45
transaksi sangat mudah,5,2026-05-18 14:01:32
transaksi keluar dan masuk tdk di sertai saldo yg di kurangi atau di tambah.kalau yg sebelumnya ada,3,2026-05-18 13:46:15
i liket,5,2026-05-18 13:05:38
"aplikasi ngawur gajelas. masa iya dua hari berturut turut akun logout sendiri? mana pas masukin kode otp harus cepet cepetan sedangkan saya harus hubungi keluarga kalo mau login. maksimal otp cuma 3 kali dan hanya bisa dilanjutkan besok, sedangkan saya sekarang gapunya uang cash. gimana coba ini? gimana saya makan coba? kebangetan, aplikasi tolol.",1,2026-05-18 13:04:14
bagu dan cepat,5,2026-05-18 12:12:24
mudah dan simple,5,2026-05-18 11:47:19
"sangat efektip dan efesien untuk bertransaksi,terima kasih.",5,2026-05-18 11:30:02
bagus lancar,4,2026-05-18 11:23:27
Mantaf aplikasinya,5,2026-05-18 11:17:24
males nabung disini BNI jelek aplikasi kamu .... 1 bukan ini saja udah aku pindahin uangku... bikin sulit hidup orang. mau pajak pelayanan nol....(0)..,1,2026-05-18 10:58:53
sangat Puass,4,2026-05-18 10:46:32
puasss,5,2026-05-18 10:44:36
mantapz,5,2026-05-18 10:35:58
"developer tolong jawab, saya coba transaksi test dari seabank ke wondr 10rb rupiah,tp kenapa saldo tersebut tidak masuk dan tidak ada catatan transaksi dari wondr",5,2026-05-18 10:12:56
sangat membantu dalam transaksi,5,2026-05-18 09:54:07
kemudahan bertransaksi,4,2026-05-18 09:45:19
agak sedikit berbeda ketika mau QR. sama gak muncul barcode. ketika mau TF gagal terus coba perbaiki,5,2026-05-18 09:35:59
oke punya,5,2026-05-18 09:28:32
mantap jadih mudah ngecek saldo nya,5,2026-05-18 09:17:37
puas dengan layanan wondr,4,2026-05-18 09:00:50
sipp pokoknya,5,2026-05-18 08:47:44
wondr by BNI salah satu pecahan dari bank BNI.tujuanya agar dapat mendefinisikan para nasabah investor yg berdemisily sesuai ukuran tamenya.namun sama tujuannya untuk bertranformasi finansial yg lebih efektif.,5,2026-05-18 08:25:51
sangat cocok untuk menabung bagi pemula,5,2026-05-18 08:13:56
simple,5,2026-05-18 08:00:21
goood,5,2026-05-18 07:53:56
mantp lancar,5,2026-05-18 07:44:03
"bagus, mudah, aman",5,2026-05-18 07:29:58
luar biasa,5,2026-05-18 07:03:41
"fitur oke, tampilan cantik, semoga gak gampang trouble.",5,2026-05-18 06:55:46
"otp ga kekirim kirim, giliran gitu malah disuruh nunggu besok kareja batas 3 kali, hadeh jauh² ke bank malah disuruh nunggu besok",1,2026-05-18 06:46:47
Sayang wonder tidak berjalan dengan lancar pada OPPO saya,5,2026-05-18 06:42:38
"Siip dah, lebih cepat dan praktis",5,2026-05-18 06:35:16
Terima kasih atas pelayanan nya,5,2026-05-18 06:18:18
"2× transaksi penarikan uang tidak keluar tapi saldo kepotong,",1,2026-05-18 05:58:03
kenapa GK bisa ya di alihin ke broshur trus,2,2026-05-18 05:50:42
lebih baik dari BNI mobile banking,5,2026-05-18 05:48:25
sangat bagus dan cepat,5,2026-05-18 05:27:23
wonder BNI terbaik,5,2026-05-18 05:24:46
"aplikasih ini sangat bagus untuk digunakan,sangat membantu sekali.",5,2026-05-18 05:19:46
bagus cepat,5,2026-05-18 05:09:28
"transfer buat aktifasi malah ilang duit gua ,di TF statusnya berhasil tapi saldo gak masuk sama sekali,, komplain ke customer service malah nglempar ke rekening pengirim parah banget pelayanannya👎",1,2026-05-18 05:07:01
NGESELIN BANGET APPNYA GABISA DIBUKA PADAHAL UDAH ADA JARINGAN,1,2026-05-18 04:54:06
terima kasih sangat menyenangkan,5,2026-05-18 04:48:04
aplikasi bagus tapi kenapa saya tidak dapat buku tabungan untuk BNI Taplus Muda,5,2026-05-18 04:44:38
kren,5,2026-05-18 04:13:45
biar bintang yang berbicara,5,2026-05-18 04:02:44
lemot,5,2026-05-18 03:51:20
sangat 👍,5,2026-05-18 03:46:07
sangat memuaskan dan amanah,5,2026-05-18 03:40:08
baru juga mau log in udh nomor debit keblokir hadeh parah,1,2026-05-18 03:27:53
gak bisa dibuka semua aplikasi bni kok sama semua gak ada yg bisa dibuka ya?,5,2026-05-18 03:13:48
mengapa tidak bisa login wondr,5,2026-05-18 03:03:10
"kenapa aplikasi wonder saya beberapa hari ini susah/lama dibuka, padalan udah di update...",4,2026-05-18 03:02:17
transfernya cepat dan terjangkau,5,2026-05-18 02:56:09
"aplikasi lemott buangetttt, dibuka loding lama dan juga kdng keluar keluar sendiri pdhal habis di perbarui jugaaaa",2,2026-05-18 02:11:02
semoga ke depan nya saya bisa tambah nyaman lagi dengan apk ini,5,2026-05-18 02:10:30
cepat🤍,4,2026-05-18 02:02:07
bintang saya kirim 5ribu gopay ke Windy BNI koq 5ribu nya belom masuk,1,2026-05-18 02:01:26
fiturnya tidak lengkap,2,2026-05-18 01:59:28
bertambah ok,5,2026-05-18 01:36:13
kenapa tiap kali mau masuk aplikasinya susah terbuka buat login,4,2026-05-18 01:30:32
kerenn,5,2026-05-18 01:13:53
sangat mendukung,5,2026-05-18 00:34:41
baik dan sangat membantu,3,2026-05-18 00:11:52
"oke bangett,memudahkan transaksi keuangan👍",5,2026-05-18 00:10:13
pas dan mantap untuk transaksi,5,2026-05-17 23:57:46
memuaskan,5,2026-05-17 23:42:24
